Name,Price,URL,Image
OVERSIZED-FIT PRINTED T-SHIRT,,https://www2.hm.com/en_us/productpage.1298525001.html,https://image.hm.com/assets/hm/6a/76/6a7680ada61351389c980c1715294f4ef8728b84.jpg?imwidth=1536
BAGGY DENIM SHORTS,,https://www2.hm.com/en_us/productpage.1304096001.html,https://image.hm.com/assets/hm/b0/66/b0668110b25b8aec011a113f82ff0baa6a27f493.jpg?imwidth=1536
LOOSE-FIT JEANS,,https://www2.hm.com/en_us/productpage.1304097002.html,https://image.hm.com/assets/hm/ab/6b/ab6ba0e1a101dad19421037f63647d8d226cb14b.jpg?imwidth=1536
OVERSIZED-FIT DENIM SHIRT,,https://www2.hm.com/en_us/productpage.1297533001.html,https://image.hm.com/assets/hm/55/cc/55cc96f7b4f849227084cf886d19ef0bee87f64e.jpg?imwidth=1536
OVERSIZED-FIT DENIM SHIRT,,https://www2.hm.com/en_us/productpage.1297533002.html,https://image.hm.com/assets/hm/ad/33/ad335d3d8862ce31f2be2a76db7d1195e167b43b.jpg?imwidth=1536
BAGGY DENIM SHORTS,,https://www2.hm.com/en_us/productpage.1304096002.html,https://image.hm.com/assets/hm/4b/a2/4ba2710d130cfdb1dc250c21214a980940107f5e.jpg?imwidth=1536
LOOSE-FIT JEANS,,https://www2.hm.com/en_us/productpage.1304097004.html,https://image.hm.com/assets/hm/5d/34/5d3425e495c06abc030e332be4b9e7ef640e1e83.jpg?imwidth=1536
LOOSE-FIT JEANS,,https://www2.hm.com/en_us/productpage.1304097003.html,https://image.hm.com/assets/hm/01/f4/01f4c4d719d6310428ad49aedb487c0e43bdf6b7.jpg?imwidth=1536
OVERSIZED-FIT CROPPED T-SHIRT,,https://www2.hm.com/en_us/productpage.1298527001.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
LOOSE-FIT JEANS,,https://www2.hm.com/en_us/productpage.1304097001.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
OVERSIZED-FIT WASHED SWEATSHIRT,,https://www2.hm.com/en_us/productpage.1298524002.html,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7"
